District_Name,Transaction_count
Adilabad ,221.75
Agar Malwa ,76.5
Agra ,834.25
Ahmadabad ,3559.5
Ahmednagar ,2232.0
Aizawl ,159.75
Ajmer ,639.0
Akola ,424.5
Alappuzha ,680.75
Aligarh ,589.0
Alipurduar ,183.5
Alirajpur ,38.25
Almora ,95.0
Alwar ,1321.5
Ambala ,272.25
Ambedkar Nagar ,146.5
Amethi ,171.0
Amravati ,1049.0
Amreli ,178.5
Amritsar ,393.5
Amroha ,214.0
Anand ,301.5
Anantapur ,1386.5
Anantnag ,79.5
Anjaw ,1.6666666666666667
Anugul ,309.25
Anuppur ,97.75
Araria ,238.75
Aravallis ,127.25
Ariyalur ,83.0
Arwal ,76.75
Ashoknagar ,52.5
Auraiya ,137.0
Aurangabad ,1463.75
Ayodhya ,293.5
Azamgarh ,506.0
Bagalkote ,529.75
Bageshwar ,28.25
Baghpat ,253.0
Bahraich ,163.25
Baksa ,104.25
Balaghat ,260.5
Balangir ,228.25
Baleshwar ,371.75
Ballari ,1236.25
Ballia ,339.75
Balod ,94.0
Baloda Bazar ,152.25
Balrampur ,85.625
Banas Kantha ,510.75
Banda ,104.75
Bandipore ,32.75
Banka ,182.75
Bankura ,351.75
Banswara ,159.0
Bara Banki ,172.75
Baramulla ,44.5
Baran ,138.5
Bareilly ,661.75
Bargarh ,174.0
Barmer ,562.0
Barnala ,41.0
Barpeta ,251.0
Barwani ,139.75
Bastar ,144.75
Basti ,406.5
Bathinda ,306.5
Beed ,818.75
Begusarai ,597.25
Belagavi ,1607.5
Bemetara ,69.75
Bengaluru Rural ,1174.25
Bengaluru Urban ,28918.0
Betul ,319.0
Bhadohi ,226.75
Bhadradri Kothagudem ,675.5
Bhadrak ,221.25
Bhagalpur ,567.0
Bhandara ,342.75
Bharatpur ,327.75
Bharuch ,816.25
Bhavnagar ,306.25
Bhilwara ,608.75
Bhind ,147.5
Bhiwani ,427.75
Bhojpur ,352.75
Bhopal ,1362.0
Bidar ,557.0
Bijapur ,51.5
Bijnor ,505.75
Bikaner ,467.75
Bilaspur ,263.125
Birbhum ,364.75
Bishnupur ,8.25
Biswanath ,80.5
Bokaro ,514.25
Bongaigaon ,109.0
Botad ,57.5
Boudh ,48.25
Budaun ,139.25
Budgam ,197.75
Bulandshahr ,488.5
Buldhana ,841.5
Bundi ,177.5
Burhanpur ,100.25
Buxar ,237.5
Cachar ,181.0
Central ,2037.75
Chamarajanagara ,167.0
Chamba ,70.75
Chamoli ,72.0
Champawat ,48.5
Champhai ,6.75
Chandauli ,187.5
Chandel ,2.75
Chandigarh ,480.0
Chandrapur ,739.0
Changlang ,16.25
Charaideo ,66.75
Charkhi Dadri ,127.25
Chatra ,89.0
Chengalpattu ,1889.5
Chennai ,3844.75
Chhatarpur ,145.75
Chhindwara ,381.25
Chhotaudepur ,44.0
Chikkaballapura ,404.5
Chikkamagaluru ,398.75
Chirang ,38.0
Chitradurga ,390.0
Chitrakoot ,68.25
Chittoor ,2114.0
Chittorgarh ,304.0
Churachandpur ,8.5
Churu ,359.5
Coimbatore ,1949.5
Cuddalore ,368.25
Cuttack ,767.75
Dadra And Nagar Haveli ,218.0
Dakshin Dinajpur ,135.5
Dakshina Kannada ,1087.0
Daman ,175.0
Damoh ,95.5
Dantewada ,60.25
Darbhanga ,605.25
Darjiling ,739.75
Darrang ,111.0
Datia ,77.5
Dausa ,306.25
Davanagere ,786.75
Dehradun ,1103.0
Deogarh ,28.0
Deoghar ,172.5
Deoria ,348.25
Devbhumi Dwarka ,67.75
Dewas ,406.0
Dhalai ,30.75
Dhamtari ,96.25
Dhanbad ,743.5
Dhar ,412.5
Dharmapuri ,223.75
Dharwad ,1339.25
Dhemaji ,72.75
Dhenkanal ,189.25
Dholpur ,122.5
Dhubri ,133.0
Dhule ,617.25
Dibang Valley ,1.0
Dibrugarh ,223.75
Dima Hasao ,20.75
Dimapur ,77.0
Dindigul ,368.75
Dindori ,59.0
Diu ,11.0
Doda ,22.25
Dohad ,131.5
Dumka ,92.25
Dungarpur ,135.0
Durg ,617.0
East ,687.0
East Garo Hills ,7.25
East Godavari ,2265.0
East Jaintia Hills ,12.5
East Kameng ,4.0
East Khasi Hills ,72.5
East Nimar ,173.75
East Siang ,13.5
East Singhbhum ,904.5
Ernakulam ,2157.25
Erode ,531.25
Etah ,123.25
Etawah ,205.0
Faridabad ,2189.75
Faridkot ,66.5
Farrukhabad ,146.75
Fatehabad ,168.5
Fatehgarh Sahib ,79.75
Fatehpur ,183.75
Fazilka ,147.75
Firozabad ,240.5
Firozepur ,120.5
Gadag ,240.25
Gadchiroli ,195.25
Gajapati ,73.75
Ganderbal ,90.75
Gandhinagar ,627.0
Ganganagar ,559.75
Ganjam ,567.75
Garhwa ,156.75
Gariyaband ,67.0
Gautam Buddha Nagar ,3265.5
Gaya ,655.75
Ghaziabad ,3115.25
Ghazipur ,426.5
Gir Somnath ,114.5
Giridih ,207.25
Goalpara ,89.75
Godda ,101.75
Golaghat ,109.0
Gomati ,42.75
Gonda ,205.5
Gondia ,314.75
Gopalganj ,348.25
Gorakhpur ,886.5
Gumla ,72.25
Guna ,160.25
Guntur ,2651.75
Gurdaspur ,120.0
Gurugram ,4266.75
Gwalior ,688.5
Hailakandi ,67.0
Hamirpur ,112.75
Hanumangarh ,321.0
Hapur ,329.0
Harda ,83.0
Hardoi ,181.25
Haridwar ,929.25
Hassan ,746.25
Hathras ,132.25
Haveri ,321.75
Hazaribagh ,266.25
Hingoli ,228.75
Hisar ,624.75
Hojai ,81.0
Hooghly ,1972.75
Hoshangabad ,259.25
Hoshiarpur ,209.5
Howrah ,1380.0
Hyderabad ,5725.0
Idukki ,290.25
Imphal East ,30.5
Imphal West ,35.75
Indore ,2589.25
Jabalpur ,570.75
Jagatsinghapur ,205.0
Jagtial ,414.0
Jaipur ,4647.5
Jaisalmer ,171.0
Jajapur ,302.75
Jalandhar ,375.25
Jalaun ,165.75
Jalgaon ,1429.5
Jalna ,661.5
Jalore ,355.25
Jalpaiguri ,338.75
Jammu ,523.5
Jamnagar ,170.25
Jamtara ,38.25
Jamui ,160.75
Jangaon ,225.0
Janjgir Champa ,266.75
Jashpur ,82.0
Jaunpur ,441.5
Jaya Shankar Bhalupally ,162.25
Jehanabad ,165.25
Jhabua ,103.5
Jhajjar ,532.75
Jhalawar ,204.5
Jhansi ,450.25
Jhargram ,72.25
Jharsuguda ,200.0
Jhunjhunu ,629.25
Jind ,255.25
Jiribam ,3.25
Jodhpur ,1037.0
Jogulamba Gadwal ,146.25
Jorhat ,138.25
Junagadh ,130.25
Kabirdham ,74.5
Kachchh ,765.0
