State_Name,Year,Transaction_count
Andaman & Nicobar Islands,2018,14505.25
Andaman & Nicobar Islands,2019,33276.0
Andaman & Nicobar Islands,2020,111568.5
Andaman & Nicobar Islands,2021,418013.25
Andaman & Nicobar Islands,2022,1359469.75
Andaman & Nicobar Islands,2023,2944581.5
Andaman & Nicobar Islands,2024,4184920.0
Andhra Pradesh,2018,19444778.0
Andhra Pradesh,2019,74295063.5
Andhra Pradesh,2020,190904174.75
Andhra Pradesh,2021,399200414.25
Andhra Pradesh,2022,646652513.25
Andhra Pradesh,2023,1380835314.25
Andhra Pradesh,2024,1755428485.0
Arunachal Pradesh,2018,108807.25
Arunachal Pradesh,2019,328717.75
Arunachal Pradesh,2020,886976.25
Arunachal Pradesh,2021,1760839.75
Arunachal Pradesh,2022,3733280.0
Arunachal Pradesh,2023,11455872.0
Arunachal Pradesh,2024,16406414.0
Assam,2018,2201694.25
Assam,2019,5672753.75
Assam,2020,11783806.0
Assam,2021,31117441.75
Assam,2022,81329922.25
Assam,2023,153344774.75
Assam,2024,221525056.0
Bihar,2018,11139221.25
Bihar,2019,32996731.75
Bihar,2020,66640994.5
Bihar,2021,175833539.25
Bihar,2022,399746874.25
Bihar,2023,722607578.5
Bihar,2024,1078734783.0
Chandigarh,2018,595757.75
Chandigarh,2019,1471101.0
Chandigarh,2020,2215330.75
Chandigarh,2021,5734016.25
Chandigarh,2022,12688998.25
Chandigarh,2023,11925383.75
Chandigarh,2024,13155173.0
Chhattisgarh,2018,3483279.5
Chhattisgarh,2019,11456620.75
Chhattisgarh,2020,24505772.75
Chhattisgarh,2021,58270322.25
Chhattisgarh,2022,137552593.25
Chhattisgarh,2023,267512395.5
Chhattisgarh,2024,366176684.0
Dadra & Nagar Haveli & Daman & Diu,2018,261208.0
Dadra & Nagar Haveli & Daman & Diu,2019,639798.0
Dadra & Nagar Haveli & Daman & Diu,2020,1201958.5
Dadra & Nagar Haveli & Daman & Diu,2021,2834220.5
Dadra & Nagar Haveli & Daman & Diu,2022,6054445.0
Dadra & Nagar Haveli & Daman & Diu,2023,14708450.25
Dadra & Nagar Haveli & Daman & Diu,2024,21115009.0
Delhi,2018,16057811.0
Delhi,2019,63615428.0
Delhi,2020,91205475.0
Delhi,2021,214740058.75
Delhi,2022,433107415.75
Delhi,2023,509187457.5
Delhi,2024,650734058.0
Goa,2018,311184.5
Goa,2019,1028735.25
Goa,2020,2270060.25
Goa,2021,6899551.5
Goa,2022,14202878.25
Goa,2023,27796591.5
Goa,2024,35013987.0
Gujarat,2018,9940490.0
Gujarat,2019,33687393.5
Gujarat,2020,57966332.0
Gujarat,2021,134712923.25
Gujarat,2022,276748923.0
Gujarat,2023,448213261.75
Gujarat,2024,606576671.0
Haryana,2018,7960977.0
Haryana,2019,28261776.75
Haryana,2020,56731688.75
Haryana,2021,126520077.0
Haryana,2022,248174686.5
Haryana,2023,473780591.25
Haryana,2024,604293500.0
Himachal Pradesh,2018,841062.5
Himachal Pradesh,2019,2730712.5
Himachal Pradesh,2020,5400603.5
