District_Name,Transaction_count
Adilabad ,10531342.75
Agar Malwa ,7204448.5
Agra ,38965018.5
Ahmadabad ,107600097.25
Ahmednagar ,93899132.5
Aizawl ,640536.25
Ajmer ,51364162.5
Akola ,19179814.75
Alappuzha ,7974047.25
Aligarh ,27752957.5
Alipurduar ,6635112.25
Alirajpur ,2283063.5
Almora ,1845387.25
Alwar ,76552723.25
Ambala ,6879101.0
Ambedkar Nagar ,8821391.0
Amethi ,7795131.75
Amravati ,34593991.25
Amreli ,2780642.5
Amritsar ,10017192.75
Amroha ,12073798.0
Anand ,6131325.5
Anantapur ,98015231.75
Anantnag ,3385613.75
Anjaw ,68190.5
Anugul ,19878577.25
Anuppur ,6249888.75
Araria ,18520322.75
Aravallis ,5055539.25
Ariyalur ,2211124.5
Arwal ,3244134.5
Ashoknagar ,6032218.5
Auraiya ,6492898.25
Aurangabad ,65127826.125
Ayodhya ,12606107.25
Azamgarh ,19498314.5
Bagalkote ,28744595.25
Bageshwar ,681452.5
Baghpat ,10131282.0
Bahraich ,7749468.75
Baksa ,2876996.0
Balaghat ,14284567.0
Balangir ,13090164.75
Baleshwar ,27252116.0
Ballari ,58307963.25
Ballia ,16191527.0
Balod ,4249800.75
Baloda Bazar ,9274337.75
Balrampur ,5092042.375
Banas Kantha ,26081267.5
Banda ,4535682.0
Bandipore ,1108494.0
Banka ,7491183.25
Bankura ,13059710.5
Banswara ,7456580.0
Bara Banki ,9839415.0
Baramulla ,4119134.5
Baran ,9706631.5
Bareilly ,24998597.75
Bargarh ,10523589.0
Barmer ,33547094.5
Barnala ,1131099.0
Barpeta ,11777199.0
Barwani ,9391176.0
Bastar ,7524629.5
Basti ,11322960.75
Bathinda ,5514139.0
Beed ,36482789.0
Begusarai ,18400149.25
Belagavi ,69203236.75
Bemetara ,4268489.25
Bengaluru Rural ,67513939.75
Bengaluru Urban ,1195232854.5
Betul ,13565053.0
Bhadohi ,5290820.25
Bhadradri Kothagudem ,27614854.0
Bhadrak ,19438240.0
Bhagalpur ,21470946.0
Bhandara ,9141334.0
Bharatpur ,24265073.25
Bharuch ,21880383.5
Bhavnagar ,7231649.75
Bhilwara ,49769908.0
Bhind ,9907910.5
Bhiwani ,10567546.5
Bhojpur ,13638292.25
Bhopal ,108646221.5
Bidar ,34925945.25
Bijapur ,2028953.25
Bijnor ,15755577.75
Bikaner ,33384636.75
Bilaspur ,14692024.375
Birbhum ,16424039.25
Bishnupur ,137414.75
Biswanath ,1914079.75
Bokaro ,26033350.75
Bongaigaon ,4781072.25
Botad ,2970008.0
Boudh ,2923029.0
Budaun ,9520737.5
Budgam ,3168709.75
Bulandshahr ,24486936.5
Buldhana ,31225253.75
Bundi ,12635216.75
Burhanpur ,6968354.5
Buxar ,7789319.75
Cachar ,7407993.0
Central ,61054690.25
Chamarajanagara ,10534031.75
Chamba ,1570421.5
Chamoli ,1578629.5
Champawat ,986853.25
Champhai ,61617.75
Chandauli ,9244912.25
Chandel ,36620.0
Chandigarh ,11925383.75
Chandrapur ,22681138.25
Changlang ,657305.5
Charaideo ,1146488.0
Charkhi Dadri ,3229795.25
Chatra ,7834340.0
Chengalpattu ,53402218.25
Chennai ,59944210.75
Chhatarpur ,12469228.75
Chhindwara ,21246251.75
Chhotaudepur ,1290800.5
Chikkaballapura ,29978236.75
Chikkamagaluru ,19750464.25
Chirang ,1765009.25
Chitradurga ,25287315.25
Chitrakoot ,2944792.5
Chittoor ,143215319.0
Chittorgarh ,21006858.75
Churachandpur ,124021.0
Churu ,20631458.75
Coimbatore ,44398213.75
Cuddalore ,8864665.75
Cuttack ,50883440.25
Dadra And Nagar Haveli ,9546783.5
Dakshin Dinajpur ,5671118.5
Dakshina Kannada ,32625624.5
Daman ,4871716.5
Damoh ,6775571.5
Dantewada ,2471386.25
Darbhanga ,25377548.5
Darjiling ,13752441.25
Darrang ,5097674.0
Datia ,5291669.25
Dausa ,28065576.5
Davanagere ,35842341.75
Dehradun ,34914852.0
Deogarh ,1807717.0
Deoghar ,10332104.5
Deoria ,17599071.5
Devbhumi Dwarka ,1627734.5
Dewas ,24355644.5
Dhalai ,670200.0
Dhamtari ,4528311.75
Dhanbad ,30416866.75
Dhar ,29304349.75
Dharmapuri ,13142661.75
Dharwad ,54178975.5
Dhemaji ,2130920.25
Dhenkanal ,14600858.5
Dholpur ,9884880.5
Dhubri ,7066087.0
Dhule ,22622090.25
Dibang Valley ,14819.0
Dibrugarh ,4828526.5
Dima Hasao ,834218.5
